Location,Impact/Control,Site,Before/After,Year,Time,Habitat,Season,After 1 & 2,Total Abund,Rhabdosargus sarba,Acanthopagrus australis,Pagrus auratus,Site2
Lake Macquarie,Control,RC1,After,3,25/10/2007,NR,N/A,After 2,2,0,2,0,RC1
Lake Macquarie,Control,RC1,After,3,8/11/2007,NR,N/A,After 2,3,0,3,0,RC1
Lake Macquarie,Control,RC1,After,3,9/11/2007,NR,N/A,After 2,13,1,3,2,RC1
St Georges Basin,Control,RC1,Before,1,7/10/2006,NR,N/A,Before,1,0,0,0,RC1
St Georges Basin,Control,RC1,Before,1,13/10/2006,NR,N/A,Before,0,0,0,0,RC1
St Georges Basin,Control,RC1,Before,1,12/11/2006,NR,N/A,Before,1,0,0,0,RC1
St Georges Basin,Control,RC1,Before,1,22/12/2006,NR,N/A,Before,0,0,0,0,RC1
St Georges Basin,Control,RC1,Before,1,10/01/2007,NR,N/A,Before,0,0,0,0,RC1
St Georges Basin,Control,RC1,Before,1,19/01/2007,NR,N/A,Before,1,0,0,0,RC1
St Georges Basin,Control,RC1,Before,1,5/02/2007,NR,N/A,Before,1,1,0,0,RC1
St Georges Basin,Control,RC1,After,2,18/10/2007,NR,N/A,After 1,0,0,0,0,RC1
St Georges Basin,Control,RC1,After,2,30/10/2007,NR,N/A,After 1,1,1,0,0,RC1
St Georges Basin,Control,RC1,After,2,31/10/2007,NR,N/A,After 1,15,5,0,0,RC1
St Georges Basin,Control,RC1,After,2,20/11/2007,NR,N/A,After 1,1,0,0,0,RC1
St Georges Basin,Control,RC1,After,2,21/11/2007,NR,N/A,After 1,0,0,0,0,RC1
St Georges Basin,Control,RC1,After,2,19/12/2007,NR,N/A,After 1,2,0,1,0,RC1
St Georges Basin,Control,RC1,After,3,16/10/2008,NR,N/A,After 2,2,2,0,0,RC1
St Georges Basin,Control,RC1,After,3,2/12/2008,NR,N/A,After 2,2,2,0,0,RC1
St Georges Basin,Control,RC1,After,3,3/12/2008,NR,N/A,After 2,6,3,0,0,RC1
St Georges Basin,Control,RC1,After,3,9/12/2008,NR,N/A,After 2,2,1,0,0,RC1
St Georges Basin,Control,RC1,After,3,30/01/2009,NR,N/A,After 2,0,0,0,0,RC1
Botany Bay,Impact,AR6,After,2,23/01/2007,AR,Sum,After 1,9,0,0,2,AR6
Botany Bay,Impact,AR6,After,2,15/02/2007,AR,Sum,After 1,3,0,1,1,AR6
Botany Bay,Impact,AR6,After,2,23/02/2007,AR,Sum,After 1,4,0,0,1,AR6
Botany Bay,Impact,AR6,After,2,28/02/2007,AR,Sum,After 1,25,0,0,0,AR6
Botany Bay,Impact,AR6,After,2,22/03/2007,AR,Aut,After 1,40,0,0,0,AR6
Botany Bay,Impact,AR6,After,2,3/04/2007,AR,Aut,After 1,6,0,0,2,AR6
Botany Bay,Impact,AR6,After,2,4/05/2007,AR,Aut,After 1,61,0,0,32,AR6
Botany Bay,Impact,AR6,After,2,8/05/2007,AR,Aut,After 1,5,0,0,3,AR6
Botany Bay,Impact,AR6,After,2,17/05/2007,AR,Aut,After 1,4,0,0,2,AR6
Botany Bay,Impact,AR6,After,2,31/05/2007,AR,Aut,After 1,105,0,0,76,AR6
Botany Bay,Impact,AR6,After,3,15/01/2008,AR,Sum,After 2,35,0,0,5,AR6
Botany Bay,Impact,AR6,After,3,25/01/2008,AR,Sum,After 2,1,0,0,1,AR6
Botany Bay,Impact,AR6,After,3,6/02/2008,AR,Sum,After 2,6,0,0,5,AR6
Botany Bay,Impact,AR6,After,3,12/02/2008,AR,Sum,After 2,22,8,0,8,AR6
Botany Bay,Impact,AR6,After,3,15/02/2008,AR,Sum,After 2,40,4,6,13,AR6
Botany Bay,Impact,AR6,After,3,26/03/2008,AR,Aut,After 2,20,0,0,2,AR6
Botany Bay,Impact,AR6,After,3,1/05/2008,AR,Aut,After 2,20,0,0,13,AR6
Botany Bay,Impact,AR6,After,3,23/05/2008,AR,Aut,After 2,47,0,0,11,AR6
Botany Bay,Impact,AR6,After,3,27/06/2008,AR,Aut,After 2,30,3,0,18,AR6
Lake Macquarie,Impact,AR6,After,2,8/09/2006,AR,N/A,After 1,56,1,4,3,AR6
Lake Macquarie,Impact,AR6,After,2,18/09/2006,AR,N/A,After 1,33,0,0,2,AR6
Lake Macquarie,Impact,AR6,After,2,11/10/2006,AR,N/A,After 1,42,0,1,4,AR6
Lake Macquarie,Impact,AR6,After,2,20/10/2006,AR,N/A,After 1,3,0,3,0,AR6
Lake Macquarie,Impact,AR6,After,2,6/11/2006,AR,N/A,After 1,29,0,0,1,AR6
Lake Macquarie,Impact,AR6,After,2,30/11/2006,AR,N/A,After 1,131,0,3,3,AR6
Lake Macquarie,Impact,AR6,After,3,4/10/2007,AR,N/A,After 2,8,2,4,1,AR6
Lake Macquarie,Impact,AR6,After,3,5/10/2007,AR,N/A,After 2,17,2,2,1,AR6
Lake Macquarie,Impact,AR6,After,3,25/10/2007,AR,N/A,After 2,13,3,5,1,AR6
Lake Macquarie,Impact,AR6,After,3,26/10/2007,AR,N/A,After 2,3,0,0,1,AR6
Lake Macquarie,Impact,AR6,After,3,8/11/2007,AR,N/A,After 2,15,4,5,2,AR6
Lake Macquarie,Impact,AR6,After,3,9/11/2007,AR,N/A,After 2,23,10,6,3,AR6
St Georges Basin,Impact,AR6,After,2,30/10/2007,AR,N/A,After 1,6,0,0,0,AR6
St Georges Basin,Impact,AR6,After,2,31/10/2007,AR,N/A,After 1,7,0,0,0,AR6
St Georges Basin,Impact,AR6,After,2,20/11/2007,AR,N/A,After 1,33,0,1,0,AR6
St Georges Basin,Impact,AR6,After,2,21/11/2007,AR,N/A,After 1,17,0,1,0,AR6
St Georges Basin,Impact,AR6,After,2,19/12/2007,AR,N/A,After 1,7,0,2,1,AR6
St Georges Basin,Impact,AR6,After,3,16/10/2008,AR,N/A,After 2,37,4,5,0,AR6
St Georges Basin,Impact,AR6,After,3,4/11/2008,AR,N/A,After 2,19,0,0,0,AR6
St Georges Basin,Impact,AR6,After,3,2/12/2008,AR,N/A,After 2,16,0,5,0,AR6
St Georges Basin,Impact,AR6,After,3,9/12/2008,AR,N/A,After 2,5,1,1,0,AR6
St Georges Basin,Impact,AR6,After,3,29/01/2009,AR,N/A,After 2,14,0,2,0,AR6
St Georges Basin,Impact,AR6,After,3,30/01/2009,AR,N/A,After 2,2,0,0,0,AR6
Botany Bay,Impact,AR5,After,2,5/01/2007,AR,Sum,After 1,4,0,0,0,AR5
Botany Bay,Impact,AR5,After,2,23/01/2007,AR,Sum,After 1,46,0,0,1,AR5
Botany Bay,Impact,AR5,After,2,15/02/2007,AR,Sum,After 1,8,0,0,4,AR5
Botany Bay,Impact,AR5,After,2,28/02/2007,AR,Sum,After 1,87,0,0,0,AR5
Botany Bay,Impact,AR5,After,2,22/03/2007,AR,Aut,After 1,86,0,0,4,AR5
Botany Bay,Impact,AR5,After,2,3/04/2007,AR,Aut,After 1,29,0,0,10,AR5
Botany Bay,Impact,AR5,After,2,4/05/2007,AR,Aut,After 1,4,0,0,0,AR5
Botany Bay,Impact,AR5,After,2,8/05/2007,AR,Aut,After 1,6,0,0,2,AR5
Botany Bay,Impact,AR5,After,2,17/05/2007,AR,Aut,After 1,14,0,0,3,AR5
Botany Bay,Impact,AR5,After,2,31/05/2007,AR,Aut,After 1,3,0,0,0,AR5
Botany Bay,Impact,AR5,After,3,15/01/2008,AR,Sum,After 2,68,0,0,1,AR5
Botany Bay,Impact,AR5,After,3,25/01/2008,AR,Sum,After 2,55,0,0,1,AR5
Botany Bay,Impact,AR5,After,3,6/02/2008,AR,Sum,After 2,79,0,0,1,AR5
Botany Bay,Impact,AR5,After,3,12/02/2008,AR,Sum,After 2,86,0,1,1,AR5
Botany Bay,Impact,AR5,After,3,15/02/2008,AR,Sum,After 2,1,0,0,0,AR5
Botany Bay,Impact,AR5,After,3,26/03/2008,AR,Aut,After 2,51,0,0,5,AR5
Botany Bay,Impact,AR5,After,3,1/05/2008,AR,Aut,After 2,26,0,0,1,AR5
Botany Bay,Impact,AR5,After,3,23/05/2008,AR,Aut,After 2,24,0,0,1,AR5
Botany Bay,Impact,AR5,After,3,27/06/2008,AR,Aut,After 2,44,0,0,10,AR5
Lake Macquarie,Impact,AR5,After,2,8/09/2006,AR,N/A,After 1,10,3,3,4,AR5
Lake Macquarie,Impact,AR5,After,2,18/09/2006,AR,N/A,After 1,25,2,1,3,AR5
Lake Macquarie,Impact,AR5,After,2,11/10/2006,AR,N/A,After 1,27,3,8,9,AR5
Lake Macquarie,Impact,AR5,After,2,20/10/2006,AR,N/A,After 1,35,2,2,3,AR5
Lake Macquarie,Impact,AR5,After,2,6/11/2006,AR,N/A,After 1,24,1,6,3,AR5
Lake Macquarie,Impact,AR5,After,2,30/11/2006,AR,N/A,After 1,70,0,12,5,AR5
Lake Macquarie,Impact,AR5,After,3,5/10/2007,AR,N/A,After 2,39,0,1,0,AR5
Lake Macquarie,Impact,AR5,After,3,25/10/2007,AR,N/A,After 2,33,0,3,1,AR5
Lake Macquarie,Impact,AR5,After,3,26/10/2007,AR,N/A,After 2,26,3,1,3,AR5
Lake Macquarie,Impact,AR5,After,3,8/11/2007,AR,N/A,After 2,29,0,2,1,AR5
Lake Macquarie,Impact,AR5,After,3,9/11/2007,AR,N/A,After 2,26,8,9,4,AR5
St Georges Basin,Impact,AR5,After,2,18/10/2007,AR,N/A,After 1,8,0,0,0,AR5
St Georges Basin,Impact,AR5,After,2,30/10/2007,AR,N/A,After 1,25,2,0,0,AR5
St Georges Basin,Impact,AR5,After,2,20/11/2007,AR,N/A,After 1,27,0,0,11,AR5
St Georges Basin,Impact,AR5,After,2,19/12/2007,AR,N/A,After 1,13,0,1,0,AR5
St Georges Basin,Impact,AR5,After,3,16/10/2008,AR,N/A,After 2,29,0,6,0,AR5
St Georges Basin,Impact,AR5,After,3,4/11/2008,AR,N/A,After 2,52,13,3,0,AR5
St Georges Basin,Impact,AR5,After,3,6/11/2008,AR,N/A,After 2,4,0,2,0,AR5
St Georges Basin,Impact,AR5,After,3,2/12/2008,AR,N/A,After 2,9,0,1,0,AR5
St Georges Basin,Impact,AR5,After,3,9/12/2008,AR,N/A,After 2,30,1,2,0,AR5
St Georges Basin,Impact,AR5,After,3,29/01/2009,AR,N/A,After 2,0,0,0,0,AR5
St Georges Basin,Impact,AR5,After,3,30/01/2009,AR,N/A,After 2,3,3,0,0,AR5
Botany Bay,Impact,AR4,After,2,5/01/2007,AR,Sum,After 1,1,0,0,1,AR4
Botany Bay,Impact,AR4,After,2,23/01/2007,AR,Sum,After 1,4,0,0,1,AR4
Botany Bay,Impact,AR4,After,2,15/02/2007,AR,Sum,After 1,4,0,0,2,AR4
Botany Bay,Impact,AR4,After,2,23/02/2007,AR,Sum,After 1,12,0,0,4,AR4
Botany Bay,Impact,AR4,After,2,28/02/2007,AR,Sum,After 1,10,0,0,8,AR4
Botany Bay,Impact,AR4,After,2,22/03/2007,AR,Aut,After 1,160,0,0,28,AR4
Botany Bay,Impact,AR4,After,2,3/04/2007,AR,Aut,After 1,7,0,0,6,AR4
Botany Bay,Impact,AR4,After,2,4/05/2007,AR,Aut,After 1,55,0,0,16,AR4
Botany Bay,Impact,AR4,After,2,8/05/2007,AR,Aut,After 1,107,0,0,14,AR4
Botany Bay,Impact,AR4,After,2,17/05/2007,AR,Aut,After 1,41,0,0,25,AR4
Botany Bay,Impact,AR4,After,2,31/05/2007,AR,Aut,After 1,29,0,0,23,AR4
Botany Bay,Impact,AR4,After,3,15/01/2008,AR,Sum,After 2,11,0,0,0,AR4
Botany Bay,Impact,AR4,After,3,25/01/2008,AR,Sum,After 2,0,0,0,0,AR4
Botany Bay,Impact,AR4,After,3,12/02/2008,AR,Sum,After 2,31,0,1,12,AR4
Botany Bay,Impact,AR4,After,3,15/02/2008,AR,Sum,After 2,5,0,0,5,AR4
Botany Bay,Impact,AR4,After,3,26/03/2008,AR,Aut,After 2,11,0,0,8,AR4
Botany Bay,Impact,AR4,After,3,1/05/2008,AR,Aut,After 2,14,2,0,5,AR4
Botany Bay,Impact,AR4,After,3,23/05/2008,AR,Aut,After 2,12,0,0,0,AR4
Botany Bay,Impact,AR4,After,3,27/06/2008,AR,Aut,After 2,9,0,0,2,AR4
Lake Macquarie,Impact,AR4,After,2,8/09/2006,AR,N/A,After 1,16,0,0,0,AR4
Lake Macquarie,Impact,AR4,After,2,11/10/2006,AR,N/A,After 1,42,1,3,1,AR4
Lake Macquarie,Impact,AR4,After,2,20/10/2006,AR,N/A,After 1,20,0,2,1,AR4
Lake Macquarie,Impact,AR4,After,2,6/11/2006,AR,N/A,After 1,7,1,3,0,AR4
Lake Macquarie,Impact,AR4,After,2,30/11/2006,AR,N/A,After 1,14,7,2,4,AR4
Lake Macquarie,Impact,AR4,After,3,4/10/2007,AR,N/A,After 2,11,2,4,4,AR4
Lake Macquarie,Impact,AR4,After,3,5/10/2007,AR,N/A,After 2,16,4,4,7,AR4
Lake Macquarie,Impact,AR4,After,3,25/10/2007,AR,N/A,After 2,28,6,9,6,AR4
Lake Macquarie,Impact,AR4,After,3,26/10/2007,AR,N/A,After 2,25,3,13,4,AR4
Lake Macquarie,Impact,AR4,After,3,8/11/2007,AR,N/A,After 2,22,6,10,4,AR4
Lake Macquarie,Impact,AR4,After,3,9/11/2007,AR,N/A,After 2,14,1,6,2,AR4
St Georges Basin,Impact,AR4,After,2,18/10/2007,AR,N/A,After 1,0,0,0,0,AR4
St Georges Basin,Impact,AR4,After,2,30/10/2007,AR,N/A,After 1,29,0,0,0,AR4
St Georges Basin,Impact,AR4,After,2,31/10/2007,AR,N/A,After 1,35,0,0,0,AR4
St Georges Basin,Impact,AR4,After,2,20/11/2007,AR,N/A,After 1,36,3,1,0,AR4
St Georges Basin,Impact,AR4,After,2,21/11/2007,AR,N/A,After 1,36,1,0,0,AR4
St Georges Basin,Impact,AR4,After,2,19/12/2007,AR,N/A,After 1,29,0,1,0,AR4
St Georges Basin,Impact,AR4,After,3,16/10/2008,AR,N/A,After 2,38,2,2,0,AR4
St Georges Basin,Impact,AR4,After,3,4/11/2008,AR,N/A,After 2,19,0,1,0,AR4
St Georges Basin,Impact,AR4,After,3,6/11/2008,AR,N/A,After 2,12,1,5,0,AR4
St Georges Basin,Impact,AR4,After,3,2/12/2008,AR,N/A,After 2,17,0,1,0,AR4
St Georges Basin,Impact,AR4,After,3,9/12/2008,AR,N/A,After 2,15,7,4,0,AR4
St Georges Basin,Impact,AR4,After,3,29/01/2009,AR,N/A,After 2,0,0,0,0,AR4
St Georges Basin,Impact,AR4,After,3,30/01/2009,AR,N/A,After 2,0,0,0,0,AR4
Botany Bay,Impact,AR3,After,2,5/01/2007,AR,Sum,After 1,1,0,0,0,AR3
Botany Bay,Impact,AR3,After,2,23/01/2007,AR,Sum,After 1,100,0,0,0,AR3
Botany Bay,Impact,AR3,After,2,15/02/2007,AR,Sum,After 1,63,2,4,10,AR3
Botany Bay,Impact,AR3,After,2,23/02/2007,AR,Sum,After 1,124,0,0,8,AR3
Botany Bay,Impact,AR3,After,2,28/02/2007,AR,Sum,After 1,43,0,9,0,AR3
Botany Bay,Impact,AR3,After,2,22/03/2007,AR,Aut,After 1,20,3,8,7,AR3
Botany Bay,Impact,AR3,After,2,3/04/2007,AR,Aut,After 1,20,0,10,7,AR3
Botany Bay,Impact,AR3,After,2,4/05/2007,AR,Aut,After 1,43,1,9,24,AR3
Botany Bay,Impact,AR3,After,2,8/05/2007,AR,Aut,After 1,64,2,13,15,AR3
Botany Bay,Impact,AR3,After,2,17/05/2007,AR,Aut,After 1,46,2,21,14,AR3
Botany Bay,Impact,AR3,After,3,15/01/2008,AR,Sum,After 2,16,0,10,0,AR3
Botany Bay,Impact,AR3,After,3,25/01/2008,AR,Sum,After 2,37,4,23,0,AR3
Botany Bay,Impact,AR3,After,3,6/02/2008,AR,Sum,After 2,40,0,19,3,AR3
Botany Bay,Impact,AR3,After,3,12/02/2008,AR,Sum,After 2,119,0,2,1,AR3
Botany Bay,Impact,AR3,After,3,15/02/2008,AR,Sum,After 2,96,0,9,1,AR3
Botany Bay,Impact,AR3,After,3,26/03/2008,AR,Aut,After 2,67,1,17,8,AR3
Botany Bay,Impact,AR3,After,3,1/05/2008,AR,Aut,After 2,23,0,7,2,AR3
Botany Bay,Impact,AR3,After,3,23/05/2008,AR,Aut,After 2,52,0,2,7,AR3
Botany Bay,Impact,AR3,After,3,27/06/2008,AR,Aut,After 2,28,0,0,6,AR3
Lake Macquarie,Impact,AR3,After,2,8/09/2006,AR,N/A,After 1,19,0,3,0,AR3
Lake Macquarie,Impact,AR3,After,2,18/09/2006,AR,N/A,After 1,7,0,0,3,AR3
Lake Macquarie,Impact,AR3,After,2,11/10/2006,AR,N/A,After 1,8,0,2,3,AR3
Lake Macquarie,Impact,AR3,After,2,20/10/2006,AR,N/A,After 1,42,0,2,2,AR3
Lake Macquarie,Impact,AR3,After,2,6/11/2006,AR,N/A,After 1,21,6,6,5,AR3
Lake Macquarie,Impact,AR3,After,2,30/11/2006,AR,N/A,After 1,31,0,2,2,AR3
Lake Macquarie,Impact,AR3,After,3,5/10/2007,AR,N/A,After 2,25,5,4,4,AR3
Lake Macquarie,Impact,AR3,After,3,25/10/2007,AR,N/A,After 2,28,5,11,2,AR3
Lake Macquarie,Impact,AR3,After,3,26/10/2007,AR,N/A,After 2,22,5,10,1,AR3
Lake Macquarie,Impact,AR3,After,3,8/11/2007,AR,N/A,After 2,25,8,8,3,AR3
Lake Macquarie,Impact,AR3,After,3,9/11/2007,AR,N/A,After 2,29,9,14,3,AR3
St Georges Basin,Impact,AR3,After,2,18/10/2007,AR,N/A,After 1,37,1,0,0,AR3
St Georges Basin,Impact,AR3,After,2,30/10/2007,AR,N/A,After 1,0,0,0,0,AR3
St Georges Basin,Impact,AR3,After,2,20/11/2007,AR,N/A,After 1,33,0,2,0,AR3
St Georges Basin,Impact,AR3,After,2,21/11/2007,AR,N/A,After 1,24,1,0,0,AR3
St Georges Basin,Impact,AR3,After,2,19/12/2007,AR,N/A,After 1,11,1,2,1,AR3
St Georges Basin,Impact,AR3,After,3,16/10/2008,AR,N/A,After 2,30,3,0,0,AR3
St Georges Basin,Impact,AR3,After,3,4/11/2008,AR,N/A,After 2,27,6,3,0,AR3
St Georges Basin,Impact,AR3,After,3,2/12/2008,AR,N/A,After 2,24,3,8,0,AR3
St Georges Basin,Impact,AR3,After,3,9/12/2008,AR,N/A,After 2,28,1,8,0,AR3
St Georges Basin,Impact,AR3,After,3,29/01/2009,AR,N/A,After 2,0,0,0,0,AR3
St Georges Basin,Impact,AR3,After,3,30/01/2009,AR,N/A,After 2,24,2,9,0,AR3
Lake Macquarie,Impact,AR2,After,2,8/09/2006,AR,N/A,After 1,33,1,1,2,AR2
Lake Macquarie,Impact,AR2,After,2,18/09/2006,AR,N/A,After 1,16,2,0,12,AR2
Lake Macquarie,Impact,AR2,After,2,11/10/2006,AR,N/A,After 1,25,3,2,5,AR2
Lake Macquarie,Impact,AR2,After,2,20/10/2006,AR,N/A,After 1,18,1,0,5,AR2
Lake Macquarie,Impact,AR2,After,2,6/11/2006,AR,N/A,After 1,6,0,4,1,AR2
Lake Macquarie,Impact,AR2,After,2,30/11/2006,AR,N/A,After 1,6,0,0,3,AR2
Lake Macquarie,Impact,AR2,After,3,4/10/2007,AR,N/A,After 2,11,1,9,0,AR2
Lake Macquarie,Impact,AR2,After,3,5/10/2007,AR,N/A,After 2,15,7,8,0,AR2
Lake Macquarie,Impact,AR2,After,3,25/10/2007,AR,N/A,After 2,29,9,9,6,AR2
Lake Macquarie,Impact,AR2,After,3,26/10/2007,AR,N/A,After 2,24,11,7,5,AR2
Lake Macquarie,Impact,AR2,After,3,8/11/2007,AR,N/A,After 2,19,5,10,3,AR2
Lake Macquarie,Impact,AR2,After,3,9/11/2007,AR,N/A,After 2,32,9,9,3,AR2
St Georges Basin,Impact,AR2,After,2,18/10/2007,AR,N/A,After 1,25,0,0,0,AR2
St Georges Basin,Impact,AR2,After,2,30/10/2007,AR,N/A,After 1,0,0,0,0,AR2
St Georges Basin,Impact,AR2,After,2,31/10/2007,AR,N/A,After 1,8,0,0,0,AR2
St Georges Basin,Impact,AR2,After,2,20/11/2007,AR,N/A,After 1,10,0,1,1,AR2
St Georges Basin,Impact,AR2,After,2,21/11/2007,AR,N/A,After 1,44,0,1,0,AR2
St Georges Basin,Impact,AR2,After,2,19/12/2007,AR,N/A,After 1,14,0,0,0,AR2
St Georges Basin,Impact,AR2,After,3,16/10/2008,AR,N/A,After 2,57,1,0,0,AR2
St Georges Basin,Impact,AR2,After,3,4/11/2008,AR,N/A,After 2,24,2,3,0,AR2
St Georges Basin,Impact,AR2,After,3,2/12/2008,AR,N/A,After 2,7,0,1,0,AR2
St Georges Basin,Impact,AR2,After,3,9/12/2008,AR,N/A,After 2,10,1,2,0,AR2
St Georges Basin,Impact,AR2,After,3,29/01/2009,AR,N/A,After 2,8,0,4,0,AR2
St Georges Basin,Impact,AR2,After,3,30/01/2009,AR,N/A,After 2,6,1,1,0,AR2
Lake Macquarie,Impact,AR1,After,2,8/09/2006,AR,N/A,After 1,10,0,1,4,AR1
Lake Macquarie,Impact,AR1,After,2,18/09/2006,AR,N/A,After 1,7,0,0,4,AR1
Lake Macquarie,Impact,AR1,After,2,11/10/2006,AR,N/A,After 1,35,12,6,10,AR1
Lake Macquarie,Impact,AR1,After,2,20/10/2006,AR,N/A,After 1,18,4,0,4,AR1
Lake Macquarie,Impact,AR1,After,2,6/11/2006,AR,N/A,After 1,18,4,8,3,AR1
Lake Macquarie,Impact,AR1,After,2,30/11/2006,AR,N/A,After 1,19,8,7,3,AR1
Lake Macquarie,Impact,AR1,After,3,4/10/2007,AR,N/A,After 2,12,1,3,0,AR1
Lake Macquarie,Impact,AR1,After,3,5/10/2007,AR,N/A,After 2,32,5,15,3,AR1
Lake Macquarie,Impact,AR1,After,3,25/10/2007,AR,N/A,After 2,10,0,1,2,AR1
Lake Macquarie,Impact,AR1,After,3,26/10/2007,AR,N/A,After 2,14,6,7,1,AR1
Lake Macquarie,Impact,AR1,After,3,8/11/2007,AR,N/A,After 2,26,9,9,3,AR1
Lake Macquarie,Impact,AR1,After,3,9/11/2007,AR,N/A,After 2,25,8,12,2,AR1
St Georges Basin,Impact,AR1,After,2,18/10/2007,AR,N/A,After 1,42,1,2,0,AR1
St Georges Basin,Impact,AR1,After,2,30/10/2007,AR,N/A,After 1,11,0,0,0,AR1
St Georges Basin,Impact,AR1,After,2,31/10/2007,AR,N/A,After 1,56,2,0,0,AR1
St Georges Basin,Impact,AR1,After,2,20/11/2007,AR,N/A,After 1,38,14,3,0,AR1
St Georges Basin,Impact,AR1,After,2,21/11/2007,AR,N/A,After 1,53,1,0,0,AR1
St Georges Basin,Impact,AR1,After,2,19/12/2007,AR,N/A,After 1,17,2,1,0,AR1
St Georges Basin,Impact,AR1,After,3,16/10/2008,AR,N/A,After 2,55,3,1,0,AR1
St Georges Basin,Impact,AR1,After,3,4/11/2008,AR,N/A,After 2,54,4,7,0,AR1
St Georges Basin,Impact,AR1,After,3,6/11/2008,AR,N/A,After 2,26,0,3,0,AR1
St Georges Basin,Impact,AR1,After,3,3/12/2008,AR,N/A,After 2,26,5,3,0,AR1
St Georges Basin,Impact,AR1,After,3,9/12/2008,AR,N/A,After 2,9,2,0,0,AR1
St Georges Basin,Impact,AR1,After,3,30/01/2009,AR,N/A,After 2,10,0,3,0,AR1
